idTweets,rater-1(annotator-1),rater-2(annotator-2),rater-3(annotator-3),consolidation column
346754649161859072,P,P,P,P
346768400980271104,P,P,P,P
346743898313465857,P,P,P,P
346765862654574592,P,P,P,P
346705997722710016,NN,NN,NN,NN
346753434361421824,P,P,P,P
346769300259995649,P,P,P,P
346754756150185984,NN,NN,NN,NN
346760033784188928,NN,NN,NN,NN
346770902081490944,NN,NN,NN,NN
346757650249314306,NN,NN,NN,NN
346761604819468288,P,P,P,P
346744317894856704,P,P,P,P
346595835246698496,P,P,P,P
346564268746997762,P,P,P,P
346760654620868608,P,P,P,P
346770251414908929,NN,NN,NN,NN
346748715018620929,P,P,P,P
346689014243397633,NN,NN,NN,NN
346713455698526208,NN,NN,NN,NN
346775717880680448,NN,NN,NN,NN
346680334085128192,NN,NN,NN,NN
346775300882984960,P,P,P,P
346739341571272705,NN,N,NN,NN
346774922095374336,P,P,P,P
346757039223099392,NN,NN,NN,NN
346771671052611584,P,P,P,P
346740391376211969,NN,NN,NN,NN
346730471390072832,P,P,P,P
346758829188448256,P,P,P,P
346597062751682560,P,P,P,P
346721714761256960,P,P,P,P
346749168599068672,P,P,P,P
346685370492153856,NN,NN,NN,NN
346648913702428674,P,P,P,P
346766793743929344,NN,NN,NN,NN
346757811318960128,NN,NN,NN,NN
346749482232328193,P,P,P,P
346758912483131393,P,P,P,P
346776265749065728,P,P,P,P
346757620599779329,NN,NN,NN,NN
346685631075860480,P,P,P,P
346579245784502272,NN,NN,NN,NN
346718369006895104,P,P,P,P
346771494967341056,P,P,P,P
346761908394807297,P,P,P,P
346714868583383041,P,P,P,P
346763429652094976,NN,NN,NN,NN
346734734426124288,P,P,P,P
346770031037800448,NN,NN,NN,NN
346766198828040192,P,P,P,P
346703018823122944,NN,NN,NN,NN
346759470908579840,NN,NN,NN,NN
346754883946414082,NN,NN,NN,NN
346715344888532992,P,P,P,P
346699597097353216,NN,NN,NN,NN
346755575201271808,P,P,P,P
346761110982098944,NN,NN,NN,NN
346613681938903041,NN,NN,NN,NN
346760469543006208,NN,NN,NN,NN
346630831277752320,NN,NN,NN,NN
346753459942465536,P,P,N,P
346776752976195584,P,P,NN,P
347059164603895808,P,P,P,P
347159045939011584,NN,NN,NN,NN
347144129018474496,NN,NN,NN,NN
347010060389605376,P,P,P,P
347056732444438529,NN,NN,NN,NN
346844954292789248,NN,NN,NN,NN
347114054084599809,NN,NN,NN,NN
347055498350170112,NN,NN,NN,NN
347079709735133184,NN,NN,NN,NN
347135287761203201,P,P,P,P
347016998632448000,P,P,P,P
347113771002626049,P,P,P,P
346993691552018433,NN,NN,NN,NN
346958191386578945,NN,NN,NN,NN
347001638650789890,NN,NN,NN,NN
347112253201469440,N,N,N,N
347034769818791936,NN,NN,NN,NN
347015948227727360,P,P,P,P
347019104063995904,P,P,P,P
347070200467828737,NN,NN,NN,NN
347021239593885696,P,P,P,P
346984883350032384,P,P,P,P
347022205323988992,P,P,P,P
347026206501265408,P,P,P,P
347166051362021376,N,N,N,N
347089267178221568,P,NN,NN,NN
346990116620869632,NN,NN,NN,NN
347066115198951425,NN,NN,NN,NN
347042346644418561,P,P,P,P
347133322431971328,P,P,P,P
347018697120047104,NN,NN,NN,NN
347031638351425536,NN,NN,NN,NN
346840931569377281,P,P,P,P
347156544229625856,NN,NN,NN,NN
347025870050975744,NN,NN,NN,NN
347151192540979200,NN,NN,NN,NN
346960227591131136,P,P,P,P
347091385536638976,NN,NN,NN,NN
347174999863472128,NN,NN,NN,NN
347161281075220480,P,P,P,P
347075481931247617,P,P,P,P
347194068465508352,NN,NN,NN,NN
347056206633902080,P,P,P,P
347159624723611651,NN,NN,NN,NN
347156534373015554,NN,NN,NN,NN
347062387393826816,NN,NN,NN,NN
346920979068485632,NN,NN,NN,NN
347085037642055683,P,P,P,P
347011754829697025,P,P,P,P
347149454329122816,NN,NN,NN,NN
347025041998876672,P,P,P,P
346853456776159232,P,P,P,P
347096662700863489,NN,NN,NN,NN
347021617647476736,NN,NN,NN,NN
346984875116621824,NN,NN,NN,NN
347170193799266304,NN,NN,NN,NN
347086527442075649,P,P,P,P
346997402026246145,P,P,P,P
347006014631059456,N,N,N,N
347014877220569088,NN,NN,NN,NN
347006828170854400,P,P,P,P
347000413033209857,NN,NN,NN,NN
346989749476675584,NN,NN,NN,NN
347025620552785920,P,P,P,P
347100442414690305,NN,NN,NN,NN
347160986949672962,NN,NN,NN,NN
347159032085225472,NN,NN,NN,NN
346976332451831808,P,P,P,P
347075348200034304,NN,NN,NN,NN
346867752864206848,P,P,P,P
346967359111720960,P,P,P,P
346884788868759552,NN,NN,NN,NN
347108913365266433,NN,NN,NN,NN
347110492050960384,NN,NN,NN,NN
347107361099497473,NN,NN,NN,NN
347004635942363136,NN,NN,NN,NN
347147607459655680,P,P,P,P
346996120041451520,P,P,P,P
347055023420764160,P,P,P,P
346941778307452928,NN,NN,NN,NN
347197814998179842,P,P,P,P
347064608688861184,P,P,P,P
346999819023290369,P,P,P,P
346969602720403456,N,N,N,N
347121894404796416,NN,NN,NN,NN
347056793463181312,P,P,P,P
347097648886583297,P,P,P,P
347032145199517696,NN,NN,NN,NN
347198283925581824,NN,NN,NN,NN
347131421275598848,P,P,P,P
347156279761960960,P,P,P,P
346971658789199872,P,P,P,P
347159295349125120,NN,NN,NN,NN
347059185181159426,P,P,P,P
347082850287362048,P,P,P,P
347052582587473920,NN,NN,NN,NN
346969823080759297,P,P,P,P
347007227531522049,NN,NN,NN,NN
347164361938313216,NN,NN,NN,NN
347160818095382529,NN,N,NN,NN
346924877439197184,P,P,P,P
347128938960662530,NN,NN,NN,NN
347032242649964545,NN,NN,NN,NN
346844960680718336,P,P,P,P
347010809496473600,NN,NN,NN,NN
346992328923287552,NN,NN,NN,NN
346977978141507585,NN,NN,NN,NN
347149289820151808,NN,NN,NN,NN
347101402423767042,N,N,N,N
347150097907343360,P,P,P,P
347179399528980482,NN,NN,NN,NN
346978618699825152,NN,NN,NN,NN
347030816175575041,NN,NN,NN,NN
347091537978609664,P,P,P,P
347023022194032642,N,N,N,N
347071574970617856,P,P,P,P
347007957856309248,P,P,P,P
347005754223493120,NN,NN,NN,NN
347169760884191233,NN,NN,NN,NN
347175880726024192,P,P,P,P
346862433626886144,P,P,P,P
346846645369069569,NN,NN,NN,NN
347525244648562688,NN,NN,NN,NN
347402180980006914,NN,NN,NN,NN
347338706069372928,NN,NN,NN,NN
347363704142168066,P,NN,NN,NN
347354869352509441,P,P,P,P
347532323941666817,NN,NN,NN,NN
347438928338497536,NN,NN,NN,NN
347510578035687424,NN,N,N,N
347488342100803584,P,P,P,P
347383422106361856,NN,NN,NN,NN
347462277332598786,P,P,P,P
347549727245598720,P,P,P,P
347363170236657665,NN,NN,NN,NN
347529285025796096,P,P,P,P
347534704381132801,P,P,P,P
347450892607430656,P,P,P,P
347331544307875841,P,P,P,P
347562845862522881,NN,NN,NN,NN
347446594712502273,P,P,P,P
347470027970199556,P,P,P,P
347209827145093122,P,P,P,P
347370842239410176,NN,NN,NN,NN
347307919097856001,P,P,P,P
347473103435206656,NN,NN,NN,NN
347391827600613376,NN,NN,NN,NN
347349159763918849,NN,NN,NN,NN
347419190401069056,P,P,P,P
347367807274610688,Nn,NN,NN,NN
347203501736206336,P,P,P,P
347448058000330753,NN,NN,NN,NN
347467837520097280,P,P,P,P
347412850488274944,NN,NN,NN,NN
347203016782397440,NN,N,N,N
347497977012707329,NN,NN,NN,NN
347234899499053056,NN,NN,NN,NN
347425860816605184,NN,NN,NN,NN
347503766100123648,NN,NN,NN,NN
347505282475229185,P,P,P,P
347345794342481920,NN,NN,NN,NN
347428938039037952,NN,NN,NN,NN
347469116220784641,P,P,P,P
347307927289339904,P,P,P,P
347351496196775936,P,P,P,P
347416234394005504,P,P,P,P
347504549235404800,NN,NN,NN,NN
347495532874330112,NN,NN,NN,NN
347417419003858944,NN,NN,NN,NN
347540617947131906,P,P,P,P
347465044721795072,NN,NN,NN,NN
347468126448918528,NN,NN,NN,NN
347531276451999744,NN,NN,NN,NN
347449593891524610,NN,NN,NN,NN
347476556983185411,P,P,P,P
347418059906117635,P,P,P,P
347560865588994048,NN,NN,NN,NN
347464990762078208,P,P,P,P
347347441101729792,P,P,P,P
347425586110668803,NN,NN,NN,NN
347500827382013952,NN,NN,NN,NN
347482487066349568,NN,NN,NN,NN
347535053519212544,NN,NN,NN,NN
347488753239064576,P,P,P,P
347472822915956736,P,P,P,P
347383943164743680,N,N,N,N
347541132357537792,P,P,P,P
347308996379672577,NN,N,N,N
347205882528010240,P,P,P,P
347730703972175873,P,P,P,P
347845095673978881,P,P,P,P
347850915660840960,P,P,P,P
347904877055320064,N,N,P,N
347810219570647040,NN,NN,P,NN
347815961161773056,P,P,N,P
347730403500630016,P,NN,P,P
347815273732136960,NN,NN,NN,NN
347846323606790144,P,P,P,P
347857499065569280,P,P,P,P
347889541782335488,NN,NN,N,NN
347845000270327809,N,N,N,N
347849320348938240,NN,NN,N,NN
347908757054947328,NN,NN,P,NN
347830091985862657,NN,NN,NN,NN
347865970179719168,P,P,P,P
347850673032937472,NN,NN,P,NN
347872227330502656,P,P,P,P
347837655402295297,NN,NN,P,NN
347731415951097856,NN,NN,NN,NN
347787588771389440,P,P,P,P
347867907075764224,NN,NN,N,NN
347905359190577152,P,P,P,P
347915866572193792,NN,NN,P,NN
347863641539874816,NN,NN,NN,NN
347742126467063812,P,P,P,P
347900449950691328,NN,NN,NN,NN
347688260606238721,NN,NN,P,NN
347915343748005888,NN,NN,NN,NN
347892057353879553,NN,NN,NN,NN
347925860227092480,NN,NN,NN,NN
347832683453362178,P,P,P,P
347812696252637184,P,P,P,P
347812839764946944,NN,NN,NN,NN
347772022576803840,P,P,P,P
347816929983082496,P,P,P,P
347811874517176320,NN,NN,P,NN
347854426926637057,NN,NN,NN,NN
347820114546147330,NN,NN,P,NN
347873295858798592,NN,NN,P,NN
347866876476542976,P,P,P,P
347828676982874113,NN,NN,P,NN
347689224918691840,N,N,N,N
347857853391962113,NN,NN,P,NN
347848720320167936,P,P,P,P
347839318397706240,P,P,P,P
347820089845878784,NN,NN,P,NN
347833953446686720,NN,NN,NN,NN
347834622308134913,NN,NN,P,NN
347810161504702464,P,P,P,P
347755394963222529,NN,NN,NN,NN
347855775126937600,P,P,P,P
347820177393582080,NN,NN,N,NN
347764970408247296,NN,NN,NN,NN
347815674590134272,NN,NN,P,NN
347812890788634626,NN,NN,N,NN
347808132552085504,NN,NN,P,NN
347837904929824768,NN,NN,N,NN
347850058991034368,NN,NN,NN,NN
347799257794887680,NN,NN,P,NN
347901301696376833,N,N,P,N
347851296621068288,NN,NN,P,NN
347874488685301762,NN,NN,NN,NN
347836233956851712,NN,NN,P,NN
347815470969286656,P,P,P,P
347698599234256896,P,P,P,P
347759398136991744,NN,NN,NN,NN
347824848027930626,NN,NN,NN,NN
347846192547373056,NN,NN,NN,NN
347890726970982400,NN,NN,P,NN
347832986693169152,NN,NN,P,NN
347847945091170304,NN,NN,P,NN
347860846761889792,NN,NN,N,NN
347873003977199616,NN,NN,P,NN
347810144215773184,NN,NN,P,NN
347725094392565760,P,P,P,P
347853663852716032,P,P,P,P
347701019515445248,P,P,P,P
347782853393776640,P,P,P,P
347922832329682946,N,NN,NN,NN
347780180011520001,P,P,P,P
347851655309578240,P,P,P,P
347817370615681025,NN,NN,P,NN
347725435309805568,P,P,P,P
347875791985590274,P,P,P,P
347843277279604737,NN,NN,NN,NN
347828297314492419,NN,NN,P,NN
347853892098326529,P,P,NN,P
347818789997514752,P,P,P,P
347893532947787777,P,P,N,P
347761610615562240,P,P,P,P
347703017350516737,P,P,P,P
347827703778529280,P,P,P,P
347878019295240192,NN,NN,NN,NN
347865748397506562,P,P,P,P
347851299510951936,P,P,P,P
347837938811408385,NN,NN,N,NN
347789494176583681,P,P,P,P
347851065020018689,NN,NN,P,NN
347895972292096000,NN,NN,P,NN
347853854416699393,P,P,P,P
347878406005874689,NN,NN,NN,NN
347832068807475200,P,P,P,P
347827022413840384,P,P,P,P
347837467027718144,NN,NN,P,NN
347908613530062848,NN,NN,P,NN
347907931947278338,P,P,P,P
347742394202083329,NN,NN,P,NN
347827635994374144,P,P,P,P
347831817635778560,NN,NN,P,NN
347859940905463808,P,P,P,P
347756176257208320,NN,NN,NN,NN
347824000631701504,P,P,P,P
347806176811053056,NN,NN,P,NN
347857812426199040,P,P,P,P
347834749479436289,NN,NN,NN,NN
347861671219433472,P,P,P,P
347875405627269120,NN,N,P,NN
347853603727343617,NN,NN,NN,NN
347858761462976514,NN,NN,P,NN
347848154219167745,P,P,P,P
347781036102524930,P,P,P,P
347842596128829441,P,P,P,P
347672515583299584,NN,NN,P,NN
347895541067309056,NN,NN,P,NN
347854202741075969,NN,NN,NN,NN
347904364385558530,NN,NN,NN,NN
347894239155339264,NN,NN,P,NN
347756888882032641,P,P,P,P
347764859024322560,P,P,P,P
347903893172281345,P,P,P,P
347861575568343040,P,P,P,P
347837081390825474,P,P,P,P
347825576846974976,NN,NN,N,NN
347902516119343104,P,P,P,P
347775870162837504,P,P,P,P
347841077304258560,P,P,P,P
347834281550307329,P,P,P,P
347826842952167425,N,N,N,N
347766372341776386,P,P,P,P
347850532972535809,NN,NN,P,NN
347826481512206336,N,N,P,N
347862104222617600,NN,NN,P,NN
347838480379965440,NN,NN,P,NN
347886911853064194,P,P,P,P
347851357698551808,NN,NN,P,NN
347813827745820673,P,P,P,P
347926028833918977,NN,NN,P,NN
347828921464655872,P,P,NN,P
347893913668947968,P,P,P,P
347769945951723521,NN,NN,NN,NN
347911315140005888,NN,NN,NN,NN
347835759442677760,P,P,P,P
347573653501771777,NN,NN,NN,NN
347866235607851009,NN,NN,P,NN
347920633507749888,NN,NN,P,NN
347757652438290432,P,NN,P,P
347763511050526720,NN,NN,P,NN
347678828107288576,NN,NN,NN,NN
347813006270402560,P,P,P,P
347791372247515136,P,P,P,P
347755703307497472,P,P,P,P
347701979709071361,NN,NN,NN,NN
347814938905030658,P,P,P,P
347761739334569984,NN,NN,NN,NN
347859795291811840,NN,NN,NN,NN
347881788544270336,NN,NN,P,NN
347809594640314368,P,P,P,P
347851339495251969,P,P,P,P
347865119692308480,NN,NN,N,NN
347793827182034944,NN,NN,P,NN
347853478284111873,NN,NN,P,NN
347745217245483008,P,P,P,P
347811467153788928,P,P,P,P
347807312037154816,NN,NN,P,NN
347863584262455297,P,P,P,P
347740933300813824,P,P,P,P
347662228075450368,P,P,P,P
347795862224789504,P,P,P,P
347755788602834945,P,P,P,P
347783158571360256,P,P,P,P
347675835513311232,P,P,P,P
347926596168077314,NN,NN,NN,NN
348149580170403842,NN,NN,NN,NN
348203252254404609,NN,NN,P,NN
348128225152626688,NN,NN,NN,NN
348277951772622848,P,P,P,P
348058815427670016,NN,NN,P,NN
348068946865438720,NN,NN,NN,NN
348161326880813057,NN,NN,P,NN
348159367444570112,NN,NN,P,NN
348259464496939008,P,P,P,P
348125814669316096,P,P,P,P
348058176962301952,P,P,P,P
348230371307032576,NN,NN,NN,NN
348203207492775936,NN,NN,N,NN
348222248357855232,P,P,NN,P
348195559003267072,P,P,P,P
348159571291930624,NN,NN,P,NN
348238511821959168,NN,NN,N,NN
348173904461828097,NN,NN,P,NN
348113219866464256,P,P,P,P
348234421209534465,P,P,P,P
348262988995780608,NN,N,NN,NN
348176173949390848,P,P,P,P
348164482138259456,P,P,P,P
348094537043947521,P,P,P,P
348278060757417986,NN,P,NN,NN
348151745534373888,NN,NN,P,NN
348274292707962880,NN,NN,N,NN
348031792391020544,P,P,P,P
348223560378109952,P,P,P,P
348233492607414272,P,P,P,P
348182817139748864,NN,NN,N,NN
348038172116140032,NN,NN,N,NN
348250447238279169,NN,NN,NN,NN
348121721150259200,NN,NN,NN,NN
348210706535047168,P,P,P,P
348233154471006208,P,P,P,P
348121799113977856,NN,P,N,NN
348079994557308929,NN,NN,P,NN
348136264823865344,P,P,P,P
348203104963022848,NN,NN,NN,NN
348211224791621632,NN,NN,N,NN
348279537735434240,NN,NN,P,NN
348154973198098432,P,P,P,P
348054083178991618,NN,NN,N,NN
348080988078895106,P,P,P,P
348209612878655488,NN,NN,P,NN
348215421184401408,NN,NN,NN,NN
348175659887112192,NN,NN,P,NN
348204470427066369,P,P,P,P
348262456860213250,NN,NN,NN,NN
348046947833221120,P,P,P,P
348242753408344065,NN,NN,P,NN
348570773339914240,P,P,P,P
348320596716814337,NN,NN,P,NN
348522251294998529,P,P,P,P
348455563513958400,P,P,P,P
348416975699058690,P,NN,P,P
348543595659268096,P,P,P,P
348454460848218113,NN,NN,P,NN
348528552922206208,NN,NN,P,NN
348495400602320896,N,N,P,N
348323553671774208,NN,NN,P,NN
348381237108416513,NN,NN,N,NN
348583872021266433,P,P,P,P
348401215727611905,P,P,NN,P
348500259405692928,NN,NN,P,NN
348409605786832896,P,P,P,P
348523531723735040,NN,NN,P,NN
348419049555898368,P,P,P,P
348503405452468224,NN,NN,NN,NN
348382015680294912,P,P,P,P
348596846316355585,NN,NN,NN,NN
348634897440722945,P,P,P,P
348629653080141824,P,P,P,P
348591348372340736,P,P,P,P
348598448045559808,NN,NN,N,NN
348599790126374912,NN,NN,NN,NN
348622834483998721,NN,NN,N,NN
348614372890902528,P,P,P,P
348595829285724160,NN,NN,P,NN
348621876983103488,P,P,P,P
348637999233368067,P,P,NN,P
348595639371849728,NN,NN,NN,NN
348623073458679808,NN,NN,N,NN
348592456947867649,P,P,P,P
348603066158813184,P,P,P,P
348607288497553408,NN,NN,NN,NN
348911623332831232,NN,NN,NN,NN
348901353663377411,NN,NN,NN,NN
348823221430267904,NN,NN,NN,NN
348785206473404417,P,P,P,P
348846954341601280,NN,NN,NN,NN
348913706039660544,P,P,NN,P
348916606149214208,NN,NN,NN,NN
348934285060866048,NN,NN,NN,NN
348860798044626944,NN,NN,NN,NN
348822159277297666,P,P,P,P
348896626645020672,P,P,P,P
348901126726352897,NN,P,NN,NN
348817739869196289,NN,NN,NN,NN
348883291170037760,NN,NN,NN,NN
348834937039880194,NN,NN,P,NN
348939761727205376,NN,NN,NN,NN
348815232870785028,NN,NN,NN,NN
348760544439848960,NN,NN,NN,NN
348897929953677312,NN,NN,NN,NN
348900919984943104,NN,NN,NN,NN
348872861265563648,NN,P,NN,NN
348825838885683200,N,NN,NN,NN
348782773093421058,NN,NN,NN,NN
348946337431183361,NN,N,NN,NN
348790809413431297,NN,NN,NN,NN
348797964782809089,NN,NN,N,NN
348873201150992384,N,N,N,N
348837042714714114,NN,NN,NN,NN
348834822552166400,NN,NN,NN,NN
348836994287271937,N,N,N,N
348854331845513216,NN,NN,NN,NN
348816531339218944,NN,NN,NN,NN
348907831631675392,NN,NN,P,NN
348845453942603778,P,P,P,P
348923329647874049,NN,NN,NN,NN
348933624910979074,NN,P,NN,NN
348848330685681664,NN,NN,NN,NN
348783525132120064,NN,NN,NN,NN
348914803894534145,NN,NN,NN,NN
348902140472864769,NN,NN,NN,NN
348916587241287682,N,N,N,N
348948724770299904,NN,NN,NN,NN
348835924639100928,NN,P,NN,NN
348909325558878208,N,N,NN,N
348816785073655808,NN,NN,NN,NN
348826617482723328,NN,NN,P,NN
348891293818159105,P,P,P,P
348909939869245440,P,P,P,P
348865909714219009,NN,NN,NN,NN
348941536173633536,NN,NN,NN,NN
348925185526743040,P,P,P,P
348825156635987971,NN,NN,NN,NN
348798131762233345,NN,NN,NN,NN
348909338607353856,N,N,NN,N
348917904084963328,NN,NN,NN,NN
348946338253250560,P,P,P,P
348885165512212480,P,P,P,P
348841659812950017,NN,N,N,N
348831934765465601,NN,NN,NN,NN
348777467126878208,NN,NN,NN,NN
348942180766855168,N,N,N,N
348897360014876673,NN,NN,N,NN
348945113243852801,NN,NN,NN,NN
348918506668040192,P,P,P,P
348925557741875200,NN,NN,NN,NN
348851996792594432,P,P,P,P
348886722366554112,NN,NN,NN,NN
348865125714911232,NN,NN,P,NN
348783187058630656,NN,NN,NN,NN
348884184053452801,P,P,NN,P
348783974233042944,NN,NN,NN,NN
348909808860147713,NN,NN,P,NN
348799075027652609,NN,NN,P,NN
348885794355818496,NN,NN,NN,NN
348905854449352705,NN,NN,NN,NN
348939635344424960,NN,NN,NN,NN
348812676744486913,P,P,P,P
348782413582839808,NN,NN,NN,NN
348872676208672769,NN,N,NN,NN
348937593200709633,NN,NN,NN,NN
348909975046852609,NN,NN,NN,NN
348867806030340096,NN,NN,NN,NN
348774023741702144,NN,NN,NN,NN
348851071009046530,P,P,P,P
348824562332495872,NN,NN,NN,NN
348873617670545409,P,NN,NN,NN
348758949861924864,P,P,NN,P
348873622166847488,NN,NN,P,NN
348951689132384256,NN,NN,P,NN
348783182189047808,P,NN,NN,NN
348891144836509696,NN,NN,NN,NN
348794049311948800,NN,NN,NN,NN
348839784678047744,NN,NN,NN,NN
348926000580673536,NN,NN,NN,NN
348811508110745601,NN,NN,NN,NN
348783431766908933,NN,NN,NN,NN
348906722607366144,NN,NN,P,NN
348920349947207680,P,P,P,P
348783524867866624,P,P,P,P
348832092190306304,NN,NN,NN,NN
348784612601905152,NN,NN,NN,NN
348839104177385472,NN,NN,NN,NN
348855072215670784,NN,NN,NN,NN
348900063260573697,P,P,NN,P
348786809527992320,P,NN,P,P
348883191345586177,NN,NN,NN,NN
348920175665487872,NN,P,P,P
348932295056556033,P,P,P,P
348951151066112000,P,P,NN,P
348907194072317952,NN,P,NN,NN
348918960638529536,NN,NN,NN,NN
348889632571785216,NN,NN,NN,NN
348898787978276864,NN,NN,NN,NN
348824772605509634,NN,NN,NN,NN
348883308559613954,NN,NN,NN,NN
348837531099463680,NN,NN,NN,NN
348898319948464129,NN,NN,P,NN
348939881784946689,P,P,NN,P
348878538432208896,P,P,P,P
348815754063380480,NN,P,NN,NN
348882805083742211,NN,P,NN,NN
348918519926226944,NN,NN,NN,NN
348820044035264512,NN,NN,NN,NN
348831154318761985,NN,NN,NN,NN
348830548506054658,NN,NN,NN,NN
348918765670502401,N,NN,NN,NN
348938664916697088,P,NN,NN,NN
348902395704643584,NN,NN,NN,NN
348870294041153536,P,P,P,P
348781466488033280,P,NN,P,P
348830990682173441,NN,NN,NN,NN
348879966894686208,P,P,P,P
348908201871302656,NN,NN,P,NN
348875834007879681,P,P,P,P
348951212797870080,NN,N,NN,NN
348808839988117504,NN,NN,NN,NN
348830739325919232,NN,NN,NN,NN
348847734264045571,P,P,P,P
348852807652233216,P,P,P,P
348774833976393728,P,P,P,P
348868380209606656,N,N,N,N
348913054169309184,N,N,N,N
348863017942917121,NN,NN,NN,NN
348934703425929217,NN,NN,NN,NN
348904379996323841,NN,NN,NN,NN
348754811577040896,NN,NN,NN,NN
348859580236832768,NN,NN,NN,NN
348834594885337088,P,P,P,P
348851002125983745,P,P,P,P
348863944414334977,P,P,NN,P
348926274183520256,NN,NN,NN,NN
348948918123495425,NN,NN,NN,NN
348886981662609409,NN,NN,NN,NN
348857365992448000,NN,NN,NN,NN
348807282198462464,NN,NN,NN,NN
348847403916476416,NN,NN,P,NN
348872188272713728,NN,NN,NN,NN
348873886416396288,NN,NN,NN,NN
348924987664642051,NN,NN,NN,NN
348893321025957888,P,NN,P,P
348799137564729344,NN,NN,NN,NN
348867583828717568,P,NN,P,P
